question,ideal_answer,student_answer,label,subject,keywords
What is a database?,A database is an organized collection of structured data stored and retrieved efficiently for managing information.,A database is an organized collection of structured data stored and retrieved efficiently for managing information.,1.0,DBMS,"structured, collection, data, storage, organized, retrieval"
What is a database?,A database is an organized collection of structured data stored and retrieved efficiently for managing information.,A database is an organized collection of structured data ...,0.6,DBMS,"structured, collection, data, storage, organized, retrieval"
What is a database?,A database is an organized collection of structured data stored and retrieved efficiently for managing information.,I don't understand the dbms concept of what.,0.2,DBMS,"structured, collection, data, storage, organized, retrieval"
Define DBMS,"A Database Management System (DBMS) is software that controls database creation, access, and enables data management operations.","A Database Management System (DBMS) is software that controls database creation, access, and enables data management operations.",1.0,DBMS,"software, database, management, control, access, creation"
Define DBMS,"A Database Management System (DBMS) is software that controls database creation, access, and enables data management operations.",A Database Management System (DBMS) is software that controls da...,0.6,DBMS,"software, database, management, control, access, creation"
Define DBMS,"A Database Management System (DBMS) is software that controls database creation, access, and enables data management operations.",I don't understand the dbms concept of define.,0.2,DBMS,"software, database, management, control, access, creation"
What is a primary key?,"A primary key is a unique identifier for each record in a table, ensuring data uniqueness and enabling record retrieval.","A primary key is a unique identifier for each record in a table, ensuring data uniqueness and enabling record retrieval.",1.0,DBMS,"unique, identifier, column, record, constraint, not null"
What is a primary key?,"A primary key is a unique identifier for each record in a table, ensuring data uniqueness and enabling record retrieval.",A primary key is a unique identifier for each record in a ta...,0.6,DBMS,"unique, identifier, column, record, constraint, not null"
What is a primary key?,"A primary key is a unique identifier for each record in a table, ensuring data uniqueness and enabling record retrieval.",I don't understand the dbms concept of what.,0.2,DBMS,"unique, identifier, column, record, constraint, not null"
Explain foreign key,"A foreign key is a column that references a primary key in another table, establishing relationships and maintaining referential integrity.","A foreign key is a column that references a primary key in another table, establishing relationships and maintaining referential integrity.",1.0,DBMS,"reference, primary key, table, relationship, constraint, referential integrity"
Explain foreign key,"A foreign key is a column that references a primary key in another table, establishing relationships and maintaining referential integrity.",A foreign key is a column that references a primary key in another ta...,0.6,DBMS,"reference, primary key, table, relationship, constraint, referential integrity"
Explain foreign key,"A foreign key is a column that references a primary key in another table, establishing relationships and maintaining referential integrity.",I don't understand the dbms concept of explain.,0.2,DBMS,"reference, primary key, table, relationship, constraint, referential integrity"
Define normalization,Normalization is the process of organizing database tables to minimize redundancy and dependency anomalies.,Normalization is the process of organizing database tables to minimize redundancy and dependency anomalies.,1.0,DBMS,"redundancy, minimize, data integrity, decompose, anomalies"
