sentence1,sentence2,label
"A basic understanding of system software, hardware, resource management as it relates to OS.","A basic understanding of system software, hardware, resource management as it relates to OS.",1.0
"A basic understanding of system software, hardware, resource management as it relates to OS.","system software, hardware, resource management, interface, control",0.8
"A basic understanding of system software, hardware, resource management as it relates to OS.","A basic understanding of system software, hard",0.6
"A basic understanding of running program, instance, memory as it relates to OS.","A basic understanding of running program, instance, memory as it relates to OS.",1.0
"A basic understanding of running program, instance, memory as it relates to OS.","running program, instance, memory, execution, context",0.8
"A basic understanding of running program, instance, memory as it relates to OS.",A basic understanding of running progra,0.6
"A basic understanding of lightweight process, execution, concurrent as it relates to OS.","A basic understanding of lightweight process, execution, concurrent as it relates to OS.",1.0
"A basic understanding of lightweight process, execution, concurrent as it relates to OS.","lightweight process, execution, concurrent, process, stack",0.8
"A basic understanding of lightweight process, execution, concurrent as it relates to OS.",A basic understanding of lightweight process,0.6
"A basic understanding of CPU time, allocation, execution order as it relates to OS.","A basic understanding of CPU time, allocation, execution order as it relates to OS.",1.0
"A basic understanding of CPU time, allocation, execution order as it relates to OS.","CPU time, allocation, execution order, process, algorithm",0.8
"A basic understanding of CPU time, allocation, execution order as it relates to OS.","A basic understanding of CPU time, alloca",0.6
"A basic understanding of save state, load state, process switch as it relates to OS.","A basic understanding of save state, load state, process switch as it relates to OS.",1.0
"A basic understanding of save state, load state, process switch as it relates to OS.","save state, load state, process switch, registers, memory",0.8
"A basic understanding of save state, load state, process switch as it relates to OS.","A basic understanding of save state, load",0.6
"A basic understanding of disk, extension, RAM as it relates to OS.","A basic understanding of disk, extension, RAM as it relates to OS.",1.0
"A basic understanding of disk, extension, RAM as it relates to OS.","disk, extension, RAM, address space, abstraction",0.8
"A basic understanding of disk, extension, RAM as it relates to OS.","A basic understanding of disk, ex",0.6
"A basic understanding of fixed-size, memory division, frames as it relates to OS.","A basic understanding of fixed-size, memory division, frames as it relates to OS.",1.0
"A basic understanding of fixed-size, memory division, frames as it relates to OS.","fixed-size, memory division, frames, pages, virtual memory",0.8
"A basic understanding of fixed-size, memory division, frames as it relates to OS.","A basic understanding of fixed-size, mem",0.6
"A basic understanding of missing page, interrupt, disk access as it relates to OS.","A basic understanding of missing page, interrupt, disk access as it relates to OS.",1.0
"A basic understanding of missing page, interrupt, disk access as it relates to OS.","missing page, interrupt, disk access, memory, loading",0.8
"A basic understanding of missing page, interrupt, disk access as it relates to OS.","A basic understanding of missing page, in",0.6
"A basic understanding of mutual exclusion, lock, exclusive access as it relates to OS.","A basic understanding of mutual exclusion, lock, exclusive access as it relates to OS.",1.0
"A basic understanding of mutual exclusion, lock, exclusive access as it relates to OS.","mutual exclusion, lock, exclusive access, synchronization, resource",0.8
"A basic understanding of mutual exclusion, lock, exclusive access as it relates to OS.","A basic understanding of mutual exclusion,",0.6
"A basic understanding of counter, synchronization, access control as it relates to OS.","A basic understanding of counter, synchronization, access control as it relates to OS.",1.0
"A basic understanding of counter, synchronization, access control as it relates to OS.","counter, synchronization, access control, signal, primitive",0.8
"A basic understanding of counter, synchronization, access control as it relates to OS.","A basic understanding of counter, synchroni",0.6
"A basic understanding of shared resource, exclusive, code as it relates to OS.","A basic understanding of shared resource, exclusive, code as it relates to OS.",1.0
