sentence1,sentence2,label
"A basic understanding of procedure, step-by-step, problem solving as it relates to DSA.","A basic understanding of procedure, step-by-step, problem solving as it relates to DSA.",1.0
"A basic understanding of procedure, step-by-step, problem solving as it relates to DSA.","procedure, step-by-step, problem solving, computation, instruction",0.8
"A basic understanding of procedure, step-by-step, problem solving as it relates to DSA.","A basic understanding of procedure, step-by",0.6
"A basic understanding of organization, data, storage as it relates to DSA.","A basic understanding of organization, data, storage as it relates to DSA.",1.0
"A basic understanding of organization, data, storage as it relates to DSA.","organization, data, storage, container, arrangement",0.8
"A basic understanding of organization, data, storage as it relates to DSA.",A basic understanding of organization,0.6
"A basic understanding of complexity, growth rate, performance as it relates to DSA.","A basic understanding of complexity, growth rate, performance as it relates to DSA.",1.0
"A basic understanding of complexity, growth rate, performance as it relates to DSA.","complexity, growth rate, performance, analysis, asymptotic",0.8
"A basic understanding of complexity, growth rate, performance as it relates to DSA.","A basic understanding of complexity, grow",0.6
"A basic understanding of execution time, operations, input size as it relates to DSA.","A basic understanding of execution time, operations, input size as it relates to DSA.",1.0
"A basic understanding of execution time, operations, input size as it relates to DSA.","execution time, operations, input size, measurement, efficiency",0.8
"A basic understanding of execution time, operations, input size as it relates to DSA.","A basic understanding of execution time, o",0.6
"A basic understanding of memory usage, storage, requirement as it relates to DSA.","A basic understanding of memory usage, storage, requirement as it relates to DSA.",1.0
"A basic understanding of memory usage, storage, requirement as it relates to DSA.","memory usage, storage, requirement, measurement, efficiency",0.8
"A basic understanding of memory usage, storage, requirement as it relates to DSA.","A basic understanding of memory usage, s",0.6
"A basic understanding of sequential, element-by-element, comparison as it relates to DSA.","A basic understanding of sequential, element-by-element, comparison as it relates to DSA.",1.0
"A basic understanding of sequential, element-by-element, comparison as it relates to DSA.","sequential, element-by-element, comparison, simple, O(n)",0.8
"A basic understanding of sequential, element-by-element, comparison as it relates to DSA.","A basic understanding of sequential, element",0.6
"A basic understanding of divide-and-conquer, sorted, half-division as it relates to DSA.","A basic understanding of divide-and-conquer, sorted, half-division as it relates to DSA.",1.0
"A basic understanding of divide-and-conquer, sorted, half-division as it relates to DSA.","divide-and-conquer, sorted, half-division, logarithmic, O(log n)",0.8
"A basic understanding of divide-and-conquer, sorted, half-division as it relates to DSA.","A basic understanding of divide-and-conquer,",0.6
"A basic understanding of contiguous, storage, indexed as it relates to DSA.","A basic understanding of contiguous, storage, indexed as it relates to DSA.",1.0
"A basic understanding of contiguous, storage, indexed as it relates to DSA.","contiguous, storage, indexed, collection, elements",0.8
"A basic understanding of contiguous, storage, indexed as it relates to DSA.","A basic understanding of contiguous,",0.6
"A basic understanding of pointer-based, nodes, dynamic as it relates to DSA.","A basic understanding of pointer-based, nodes, dynamic as it relates to DSA.",1.0
"A basic understanding of pointer-based, nodes, dynamic as it relates to DSA.","pointer-based, nodes, dynamic, non-contiguous, structure",0.8
"A basic understanding of pointer-based, nodes, dynamic as it relates to DSA.",A basic understanding of pointer-based,0.6
"A basic understanding of LIFO, last-in-first-out, push as it relates to DSA.","A basic understanding of LIFO, last-in-first-out, push as it relates to DSA.",1.0
"A basic understanding of LIFO, last-in-first-out, push as it relates to DSA.","LIFO, last-in-first-out, push, pop, operation",0.8
"A basic understanding of LIFO, last-in-first-out, push as it relates to DSA.","A basic understanding of LIFO, last-in",0.6
"A basic understanding of FIFO, first-in-first-out, enqueue as it relates to DSA.","A basic understanding of FIFO, first-in-first-out, enqueue as it relates to DSA.",1.0
"A basic understanding of FIFO, first-in-first-out, enqueue as it relates to DSA.","FIFO, first-in-first-out, enqueue, dequeue, operation",0.8
"A basic understanding of FIFO, first-in-first-out, enqueue as it relates to DSA.","A basic understanding of FIFO, first-in-",0.6
"A basic understanding of hierarchical, root, nodes as it relates to DSA.","A basic understanding of hierarchical, root, nodes as it relates to DSA.",1.0
"A basic understanding of hierarchical, root, nodes as it relates to DSA.","hierarchical, root, nodes, edges, structure",0.8
"A basic understanding of hierarchical, root, nodes as it relates to DSA.",A basic understanding of hierarchica,0.6
"A basic understanding of two children, maximum, node as it relates to DSA.","A basic understanding of two children, maximum, node as it relates to DSA.",1.0
"A basic understanding of two children, maximum, node as it relates to DSA.","two children, maximum, node, branches, structure",0.8
"A basic understanding of two children, maximum, node as it relates to DSA.",A basic understanding of two children,0.6
"A basic understanding of binary search tree, ordered, left smaller as it relates to DSA.","A basic understanding of binary search tree, ordered, left smaller as it relates to DSA.",1.0
"A basic understanding of binary search tree, ordered, left smaller as it relates to DSA.","binary search tree, ordered, left smaller, right larger, sorted",0.8
"A basic understanding of binary search tree, ordered, left smaller as it relates to DSA.","A basic understanding of binary search tree,",0.6
"A basic understanding of hash function, key-value, lookup as it relates to DSA.","A basic understanding of hash function, key-value, lookup as it relates to DSA.",1.0
"A basic understanding of hash function, key-value, lookup as it relates to DSA.","hash function, key-value, lookup, table, storage",0.8
"A basic understanding of hash function, key-value, lookup as it relates to DSA.","A basic understanding of hash function,",0.6
"A comprehensive explanation of hash conflict, multiple keys, address, including their application and importance in DSA.","A comprehensive explanation of hash conflict, multiple keys, address, including their application and importance in DSA.",1.0
"A comprehensive explanation of hash conflict, multiple keys, address, including their application and importance in DSA.","hash conflict, multiple keys, address, resolution, problem",0.8
"A comprehensive explanation of hash conflict, multiple keys, address, including their application and importance in DSA.","A comprehensive explanation of hash conflict, multiple keys,",0.6
"A comprehensive explanation of vertices, edges, nodes, including their application and importance in DSA.","A comprehensive explanation of vertices, edges, nodes, including their application and importance in DSA.",1.0
"A comprehensive explanation of vertices, edges, nodes, including their application and importance in DSA.","vertices, edges, nodes, connections, relationships",0.8
"A comprehensive explanation of vertices, edges, nodes, including their application and importance in DSA.","A comprehensive explanation of vertices, edges, node",0.6
"A comprehensive explanation of breadth-first, level-order, queue, including their application and importance in DSA.","A comprehensive explanation of breadth-first, level-order, queue, including their application and importance in DSA.",1.0
"A comprehensive explanation of breadth-first, level-order, queue, including their application and importance in DSA.","breadth-first, level-order, queue, traversal, exploration",0.8
